,max_protest_time,initial_people,memory_T,contact_frequency,max_threshold,proportion_of_spreaders,dose-unit,Society-Type,red_ones
565,1,300,1,0.25,3,0.1,1,"""Closed""",13
671,1,300,1,0.25,3,0.1,1,"""Closed""",14
696,1,300,1,0.25,3,0.1,1,"""Closed""",14
701,1,300,1,0.25,3,0.1,1,"""Closed""",6
706,1,300,1,0.25,3,0.1,1,"""Closed""",10
749,1,300,1,0.25,3,0.1,1,"""Closed""",11
752,1,300,1,0.25,3,0.1,1,"""Closed""",10
1317,1,300,1,0.25,3,0.1,1,"""Closed""",9
1335,1,300,1,0.25,3,0.1,1,"""Closed""",15
1375,1,300,1,0.25,3,0.1,1,"""Closed""",15
1381,1,300,1,0.25,3,0.1,1,"""Closed""",10
1428,1,300,1,0.25,3,0.1,1,"""Closed""",14
1495,1,300,1,0.25,3,0.1,1,"""Closed""",11
1689,1,300,1,0.25,3,0.1,1,"""Closed""",10
1812,1,300,1,0.25,3,0.1,1,"""Closed""",9
1835,1,300,1,0.25,3,0.1,1,"""Closed""",6
2043,1,300,1,0.25,3,0.1,1,"""Closed""",15
2165,1,300,1,0.25,3,0.1,1,"""Closed""",11
2210,1,300,1,0.25,3,0.1,1,"""Closed""",13
2323,1,300,1,0.25,3,0.1,1,"""Closed""",6
2537,1,300,1,0.25,3,0.1,1,"""Closed""",10
2567,1,300,1,0.25,3,0.1,1,"""Closed""",17
2586,1,300,1,0.25,3,0.1,1,"""Closed""",10
2800,1,300,1,0.25,3,0.1,1,"""Closed""",19
2820,1,300,1,0.25,3,0.1,1,"""Closed""",10
2846,1,300,1,0.25,3,0.1,1,"""Closed""",9
3152,1,300,1,0.25,3,0.1,1,"""Closed""",13
3210,1,300,1,0.25,3,0.1,1,"""Closed""",19
3339,1,300,1,0.25,3,0.1,1,"""Closed""",8
3359,1,300,1,0.25,3,0.1,1,"""Closed""",16
3366,1,300,1,0.25,3,0.1,1,"""Closed""",16
3399,1,300,1,0.25,3,0.1,1,"""Closed""",8
3431,1,300,1,0.25,3,0.1,1,"""Closed""",22
3876,1,300,1,0.25,3,0.1,1,"""Closed""",9
3936,1,300,1,0.25,3,0.1,1,"""Closed""",10
4000,1,300,1,0.25,3,0.1,1,"""Closed""",9
4041,1,300,1,0.25,3,0.1,1,"""Closed""",12
4102,1,300,1,0.25,3,0.1,1,"""Closed""",15
4105,1,300,1,0.25,3,0.1,1,"""Closed""",9
4234,1,300,1,0.25,3,0.1,1,"""Closed""",13
4589,1,300,1,0.25,3,0.1,1,"""Closed""",9
4747,1,300,1,0.25,3,0.1,1,"""Closed""",16
4753,1,300,1,0.25,3,0.1,1,"""Closed""",12
4758,1,300,1,0.25,3,0.1,1,"""Closed""",16
4821,1,300,1,0.25,3,0.1,1,"""Closed""",7
4939,1,300,1,0.25,3,0.1,1,"""Closed""",8
4967,1,300,1,0.25,3,0.1,1,"""Closed""",14
5190,1,300,1,0.25,3,0.1,1,"""Closed""",8
5341,1,300,1,0.25,3,0.1,1,"""Closed""",7
5379,1,300,1,0.5,3,0.1,1,"""Closed""",15
5554,1,300,1,0.5,3,0.1,1,"""Closed""",26
5577,1,300,1,0.5,3,0.1,1,"""Closed""",14
5623,1,300,1,0.5,3,0.1,1,"""Closed""",16
5724,1,300,1,0.5,3,0.1,1,"""Closed""",12
5869,1,300,1,0.5,3,0.1,1,"""Closed""",16
6058,1,300,1,0.5,3,0.1,1,"""Closed""",16
6166,1,300,1,0.5,3,0.1,1,"""Closed""",20
6270,1,300,1,0.5,3,0.1,1,"""Closed""",17
6310,1,300,1,0.5,3,0.1,1,"""Closed""",15
6313,1,300,1,0.5,3,0.1,1,"""Closed""",11
6514,1,300,1,0.5,3,0.1,1,"""Closed""",11
6603,1,300,1,0.5,3,0.1,1,"""Closed""",10
6807,1,300,1,0.5,3,0.1,1,"""Closed""",21
6827,1,300,1,0.5,3,0.1,1,"""Closed""",19
6917,1,300,1,0.5,3,0.1,1,"""Closed""",13
6965,1,300,1,0.5,3,0.1,1,"""Closed""",15
7040,1,300,1,0.5,3,0.1,1,"""Closed""",18
7239,1,300,1,0.5,3,0.1,1,"""Closed""",12
7351,1,300,1,0.5,3,0.1,1,"""Closed""",13
7519,1,300,1,0.5,3,0.1,1,"""Closed""",19
7533,1,300,1,0.5,3,0.1,1,"""Closed""",5
7615,1,300,1,0.5,3,0.1,1,"""Closed""",12
7680,1,300,1,0.5,3,0.1,1,"""Closed""",12
7794,1,300,1,0.5,3,0.1,1,"""Closed""",9
7962,1,300,1,0.5,3,0.1,1,"""Closed""",16
8027,1,300,1,0.5,3,0.1,1,"""Closed""",15
8264,1,300,1,0.5,3,0.1,1,"""Closed""",16
8271,1,300,1,0.5,3,0.1,1,"""Closed""",13
8323,1,300,1,0.5,3,0.1,1,"""Closed""",7
8383,1,300,1,0.5,3,0.1,1,"""Closed""",17
8565,1,300,1,0.5,3,0.1,1,"""Closed""",14
8641,1,300,1,0.5,3,0.1,1,"""Closed""",10
8670,1,300,1,0.5,3,0.1,1,"""Closed""",12
8922,1,300,1,0.5,3,0.1,1,"""Closed""",21
9031,1,300,1,0.5,3,0.1,1,"""Closed""",12
9036,1,300,1,0.5,3,0.1,1,"""Closed""",18
9133,1,300,1,0.5,3,0.1,1,"""Closed""",26
9300,1,300,1,0.5,3,0.1,1,"""Closed""",14
9356,1,300,1,0.5,3,0.1,1,"""Closed""",12
9403,1,300,1,0.5,3,0.1,1,"""Closed""",12
9567,1,300,1,0.5,3,0.1,1,"""Closed""",16
9689,1,300,1,0.5,3,0.1,1,"""Closed""",22
9722,1,300,1,0.5,3,0.1,1,"""Closed""",11
9833,1,300,1,0.5,3,0.1,1,"""Closed""",15
10082,1,300,1,0.5,3,0.1,1,"""Closed""",11
10092,1,300,1,0.5,3,0.1,1,"""Closed""",15
10095,1,300,1,0.5,3,0.1,1,"""Closed""",16
10298,1,300,1,0.5,3,0.1,1,"""Closed""",21
10416,1,300,1,0.5,3,0.1,1,"""Closed""",5
10453,1,300,1,0.75,3,0.1,1,"""Closed""",24
10578,1,300,1,0.75,3,0.1,1,"""Closed""",24
10766,1,300,1,0.75,3,0.1,1,"""Closed""",21
10773,1,300,1,0.75,3,0.1,1,"""Closed""",28
10793,1,300,1,0.75,3,0.1,1,"""Closed""",18
10943,1,300,1,0.75,3,0.1,1,"""Closed""",25
11220,1,300,1,0.75,3,0.1,1,"""Closed""",6
11272,1,300,1,0.75,3,0.1,1,"""Closed""",11
11304,1,300,1,0.75,3,0.1,1,"""Closed""",17
11354,1,300,1,0.75,3,0.1,1,"""Closed""",12
11432,1,300,1,0.75,3,0.1,1,"""Closed""",23
11504,1,300,1,0.25,3,0.1,1,"""Closed""",18
11515,1,300,1,0.75,3,0.1,1,"""Closed""",14
11664,1,300,1,0.75,3,0.1,1,"""Closed""",22
11911,1,300,1,0.75,3,0.1,1,"""Closed""",16
11979,1,300,1,0.75,3,0.1,1,"""Closed""",22
11997,1,300,1,0.75,3,0.1,1,"""Closed""",16
12036,1,300,1,0.75,3,0.1,1,"""Closed""",13
12146,1,300,1,0.75,3,0.1,1,"""Closed""",13
12202,1,300,1,0.75,3,0.1,1,"""Closed""",19
12371,1,300,1,0.75,3,0.1,1,"""Closed""",20
12681,1,300,1,0.75,3,0.1,1,"""Closed""",15
12717,1,300,1,0.75,3,0.1,1,"""Closed""",21
12763,1,300,1,0.75,3,0.1,1,"""Closed""",23
12764,1,300,1,0.75,3,0.1,1,"""Closed""",23
12779,1,300,1,0.75,3,0.1,1,"""Closed""",29
13011,1,300,1,0.75,3,0.1,1,"""Closed""",20
13231,1,300,1,0.75,3,0.1,1,"""Closed""",20
13336,1,300,1,0.75,3,0.1,1,"""Closed""",22
13339,1,300,1,0.75,3,0.1,1,"""Closed""",19
13385,1,300,1,0.75,3,0.1,1,"""Closed""",25
13421,1,300,1,0.75,3,0.1,1,"""Closed""",19
13610,1,300,1,0.75,3,0.1,1,"""Closed""",26
13669,1,300,1,0.75,3,0.1,1,"""Closed""",24
13954,1,300,1,0.75,3,0.1,1,"""Closed""",20
13974,1,300,1,0.75,3,0.1,1,"""Closed""",19
13992,1,300,1,0.75,3,0.1,1,"""Closed""",19
14125,1,300,1,0.75,3,0.1,1,"""Closed""",27
14169,1,300,1,0.75,3,0.1,1,"""Closed""",24
14376,1,300,1,0.75,3,0.1,1,"""Closed""",22
14416,1,300,1,0.75,3,0.1,1,"""Closed""",31
14641,1,300,1,0.75,3,0.1,1,"""Closed""",18
14656,1,300,1,0.75,3,0.1,1,"""Closed""",21
14681,1,300,1,0.75,3,0.1,1,"""Closed""",20
14813,1,300,1,0.75,3,0.1,1,"""Closed""",20
15057,1,300,1,0.75,3,0.1,1,"""Closed""",21
15072,1,300,1,0.75,3,0.1,1,"""Closed""",33
15122,1,300,1,0.75,3,0.1,1,"""Closed""",18
15336,1,300,1,0.75,3,0.1,1,"""Closed""",13
15366,1,300,1,0.75,3,0.1,1,"""Closed""",24
15426,1,300,2,0.25,3,0.1,1,"""Closed""",39
15496,1,300,2,0.25,3,0.1,1,"""Closed""",32
15738,1,300,2,0.25,3,0.1,1,"""Closed""",38
15768,1,300,2,0.25,3,0.1,1,"""Closed""",22
15832,1,300,2,0.25,3,0.1,1,"""Closed""",29
15991,1,300,2,0.25,3,0.1,1,"""Closed""",39
16083,1,300,2,0.25,3,0.1,1,"""Closed""",29
16115,1,300,2,0.25,3,0.1,1,"""Closed""",28
16238,1,300,2,0.25,3,0.1,1,"""Closed""",40
16459,1,300,2,0.25,3,0.1,1,"""Closed""",31
16550,1,300,2,0.25,3,0.1,1,"""Closed""",17
16577,1,300,2,0.25,3,0.1,1,"""Closed""",29
16712,1,300,2,0.25,3,0.1,1,"""Closed""",22
16823,1,300,2,0.25,3,0.1,1,"""Closed""",33
16857,1,300,2,0.25,3,0.1,1,"""Closed""",35
16956,1,300,2,0.25,3,0.1,1,"""Closed""",32
17251,1,300,2,0.25,3,0.1,1,"""Closed""",38
17278,1,300,1,0.75,3,0.1,1,"""Closed""",21
17331,1,300,2,0.25,3,0.1,1,"""Closed""",34
17345,1,300,2,0.25,3,0.1,1,"""Closed""",27
17486,1,300,2,0.25,3,0.1,1,"""Closed""",29
17538,1,300,2,0.25,3,0.1,1,"""Closed""",41
17594,1,300,2,0.25,3,0.1,1,"""Closed""",29
17684,1,300,2,0.25,3,0.1,1,"""Closed""",30
18051,1,300,2,0.25,3,0.1,1,"""Closed""",33
18072,1,300,2,0.25,3,0.1,1,"""Closed""",32
18073,1,300,2,0.25,3,0.1,1,"""Closed""",31
18309,1,300,2,0.25,3,0.1,1,"""Closed""",32
18379,1,300,2,0.25,3,0.1,1,"""Closed""",27
18400,1,300,2,0.25,3,0.1,1,"""Closed""",32
18462,1,300,2,0.25,3,0.1,1,"""Closed""",22
18599,1,300,2,0.25,3,0.1,1,"""Closed""",17
18758,1,300,2,0.25,3,0.1,1,"""Closed""",27
18802,1,300,2,0.25,3,0.1,1,"""Closed""",26
18841,1,300,2,0.25,3,0.1,1,"""Closed""",31
19029,1,300,2,0.25,3,0.1,1,"""Closed""",35
19122,1,300,2,0.25,3,0.1,1,"""Closed""",22
19141,1,300,2,0.25,3,0.1,1,"""Closed""",40
19258,1,300,2,0.25,3,0.1,1,"""Closed""",36
19543,1,300,2,0.25,3,0.1,1,"""Closed""",31
19551,1,300,2,0.25,3,0.1,1,"""Closed""",32
19707,1,300,2,0.25,3,0.1,1,"""Closed""",29
19758,1,300,2,0.25,3,0.1,1,"""Closed""",24
19760,1,300,2,0.25,3,0.1,1,"""Closed""",40
19804,1,300,2,0.25,3,0.1,1,"""Closed""",34
19855,1,300,2,0.25,3,0.1,1,"""Closed""",29
20124,1,300,2,0.25,3,0.1,1,"""Closed""",35
20206,1,300,2,0.25,3,0.1,1,"""Closed""",36
20352,1,300,2,0.25,3,0.1,1,"""Closed""",41
20617,1,300,2,0.5,3,0.1,1,"""Closed""",43
20627,1,300,2,0.5,3,0.1,1,"""Closed""",53
20628,1,300,2,0.5,3,0.1,1,"""Closed""",33
20629,1,300,2,0.25,3,0.1,1,"""Closed""",26
20652,1,300,2,0.25,3,0.1,1,"""Closed""",42
20998,1,300,2,0.5,3,0.1,1,"""Closed""",41
21041,1,300,2,0.5,3,0.1,1,"""Closed""",49
21128,1,300,2,0.5,3,0.1,1,"""Closed""",43
21335,1,300,2,0.5,3,0.1,1,"""Closed""",39
21359,1,300,2,0.5,3,0.1,1,"""Closed""",41
21399,1,300,2,0.5,3,0.1,1,"""Closed""",45
21417,1,300,2,0.5,3,0.1,1,"""Closed""",49
21813,1,300,2,0.5,3,0.1,1,"""Closed""",46
21836,1,300,2,0.5,3,0.1,1,"""Closed""",41
21851,1,300,2,0.5,3,0.1,1,"""Closed""",44
21933,1,300,2,0.5,3,0.1,1,"""Closed""",41
22104,1,300,2,0.5,3,0.1,1,"""Closed""",38
22206,1,300,2,0.5,3,0.1,1,"""Closed""",46
22220,1,300,2,0.5,3,0.1,1,"""Closed""",40
22229,1,300,2,0.5,3,0.1,1,"""Closed""",41
22515,1,300,2,0.5,3,0.1,1,"""Closed""",43
22629,1,300,2,0.5,3,0.1,1,"""Closed""",46
22657,1,300,2,0.5,3,0.1,1,"""Closed""",45
22736,1,300,2,0.5,3,0.1,1,"""Closed""",52
22874,1,300,2,0.5,3,0.1,1,"""Closed""",36
22925,1,300,2,0.5,3,0.1,1,"""Closed""",47
23063,1,300,2,0.5,3,0.1,1,"""Closed""",44
23153,1,300,2,0.5,3,0.1,1,"""Closed""",42
23385,1,300,2,0.5,3,0.1,1,"""Closed""",49
23392,1,300,2,0.5,3,0.1,1,"""Closed""",48
23507,1,300,2,0.5,3,0.1,1,"""Closed""",49
23508,1,300,2,0.5,3,0.1,1,"""Closed""",29
23660,1,300,2,0.5,3,0.1,1,"""Closed""",53
23760,1,300,2,0.5,3,0.1,1,"""Closed""",53
23833,1,300,2,0.5,3,0.1,1,"""Closed""",62
23933,1,300,2,0.5,3,0.1,1,"""Closed""",39
24180,1,300,2,0.5,3,0.1,1,"""Closed""",41
24207,1,300,2,0.5,3,0.1,1,"""Closed""",41
24266,1,300,2,0.5,3,0.1,1,"""Closed""",37
24353,1,300,2,0.5,3,0.1,1,"""Closed""",51
24486,1,300,2,0.5,3,0.1,1,"""Closed""",57
24557,1,300,2,0.5,3,0.1,1,"""Closed""",37
24631,1,300,2,0.5,3,0.1,1,"""Closed""",36
24690,1,300,2,0.5,3,0.1,1,"""Closed""",43
25002,1,300,2,0.5,3,0.1,1,"""Closed""",45
25073,1,300,2,0.5,3,0.1,1,"""Closed""",41
25083,1,300,2,0.5,3,0.1,1,"""Closed""",38
25158,1,300,2,0.5,3,0.1,1,"""Closed""",30
25316,1,300,2,0.5,3,0.1,1,"""Closed""",49
25328,1,300,2,0.5,3,0.1,1,"""Closed""",47
25359,1,300,2,0.5,3,0.1,1,"""Closed""",45
25518,1,300,2,0.5,3,0.1,1,"""Closed""",45
25831,1,300,2,0.75,3,0.1,1,"""Closed""",72
25853,1,300,2,0.75,3,0.1,1,"""Closed""",80
25908,1,300,2,0.75,3,0.1,1,"""Closed""",80
25909,1,300,2,0.75,3,0.1,1,"""Closed""",72
26054,1,300,2,0.75,3,0.1,1,"""Closed""",66
26140,1,300,2,0.75,3,0.1,1,"""Closed""",78
26153,1,300,2,0.75,3,0.1,1,"""Closed""",69
26489,1,300,2,0.75,3,0.1,1,"""Closed""",77
26560,1,300,2,0.75,3,0.1,1,"""Closed""",65
26693,1,300,2,0.75,3,0.1,1,"""Closed""",74
26725,1,300,2,0.75,3,0.1,1,"""Closed""",76
26804,1,300,2,0.75,3,0.1,1,"""Closed""",71
26916,1,300,2,0.75,3,0.1,1,"""Closed""",72
26928,1,300,2,0.75,3,0.1,1,"""Closed""",75
26943,1,300,2,0.75,3,0.1,1,"""Closed""",61
27297,1,300,2,0.75,3,0.1,1,"""Closed""",75
27304,1,300,2,0.75,3,0.1,1,"""Closed""",72
27502,1,300,2,0.75,3,0.1,1,"""Closed""",74
27546,1,300,2,0.75,3,0.1,1,"""Closed""",66
27710,1,300,2,0.75,3,0.1,1,"""Closed""",70
27715,1,300,2,0.75,3,0.1,1,"""Closed""",73
27723,1,300,2,0.75,3,0.1,1,"""Closed""",55
27740,1,300,2,0.75,3,0.1,1,"""Closed""",88
28051,1,300,2,0.75,3,0.1,1,"""Closed""",86
28080,1,300,2,0.75,3,0.1,1,"""Closed""",74
28337,1,300,2,0.75,3,0.1,1,"""Closed""",83
28347,1,300,2,0.75,3,0.1,1,"""Closed""",76
28518,1,300,2,0.75,3,0.1,1,"""Closed""",83
28533,1,300,2,0.75,3,0.1,1,"""Closed""",80
28557,1,300,2,0.75,3,0.1,1,"""Closed""",76
28589,1,300,2,0.75,3,0.1,1,"""Closed""",72
28810,1,300,2,0.75,3,0.1,1,"""Closed""",53
29075,1,300,2,0.75,3,0.1,1,"""Closed""",79
29101,1,300,2,0.75,3,0.1,1,"""Closed""",60
29120,1,300,2,0.75,3,0.1,1,"""Closed""",75
29265,1,300,2,0.75,3,0.1,1,"""Closed""",55
29277,1,300,2,0.75,3,0.1,1,"""Closed""",95
29384,1,300,2,0.75,3,0.1,1,"""Closed""",73
29486,1,300,2,0.75,3,0.1,1,"""Closed""",56
29574,1,300,2,0.75,3,0.1,1,"""Closed""",78
29878,1,300,2,0.75,3,0.1,1,"""Closed""",78
29880,1,300,2,0.75,3,0.1,1,"""Closed""",68
29997,1,300,2,0.75,3,0.1,1,"""Closed""",68
30017,1,300,2,0.75,3,0.1,1,"""Closed""",68
30131,1,300,2,0.75,3,0.1,1,"""Closed""",62
30168,1,300,2,0.75,3,0.1,1,"""Closed""",79
30290,1,300,2,0.75,3,0.1,1,"""Closed""",51
30407,1,300,2,0.75,3,0.1,1,"""Closed""",81
30652,1,300,2,0.75,3,0.1,1,"""Closed""",70
30710,1,300,2,0.75,3,0.1,1,"""Closed""",77
30772,1,300,3,0.25,3,0.1,1,"""Closed""",68
30777,1,300,3,0.25,3,0.1,1,"""Closed""",53
30955,1,300,3,0.25,3,0.1,1,"""Closed""",53
31074,1,300,3,0.25,3,0.1,1,"""Closed""",63
31137,1,300,3,0.25,3,0.1,1,"""Closed""",56
31326,1,300,3,0.25,3,0.1,1,"""Closed""",68
31450,1,300,3,0.25,3,0.1,1,"""Closed""",53
31461,1,300,3,0.25,3,0.1,1,"""Closed""",57
31517,1,300,3,0.25,3,0.1,1,"""Closed""",58
31557,1,300,3,0.25,3,0.1,1,"""Closed""",56
31722,1,300,3,0.25,3,0.1,1,"""Closed""",63
31851,1,300,3,0.25,3,0.1,1,"""Closed""",55
31886,1,300,3,0.25,3,0.1,1,"""Closed""",66
32187,1,300,3,0.25,3,0.1,1,"""Closed""",63
32205,1,300,3,0.25,3,0.1,1,"""Closed""",60
32298,1,300,3,0.25,3,0.1,1,"""Closed""",55
32328,1,300,3,0.25,3,0.1,1,"""Closed""",52
32481,1,300,3,0.25,3,0.1,1,"""Closed""",64
32522,1,300,3,0.25,3,0.1,1,"""Closed""",58
32652,1,300,3,0.25,3,0.1,1,"""Closed""",64
32662,1,300,3,0.25,3,0.1,1,"""Closed""",52
32982,1,300,3,0.25,3,0.1,1,"""Closed""",46
33077,1,300,3,0.25,3,0.1,1,"""Closed""",59
33104,1,300,3,0.25,3,0.1,1,"""Closed""",55
33194,1,300,3,0.25,3,0.1,1,"""Closed""",56
33237,1,300,3,0.25,3,0.1,1,"""Closed""",60
33389,1,300,3,0.25,3,0.1,1,"""Closed""",46
33408,1,300,3,0.25,3,0.1,1,"""Closed""",51
33430,1,300,3,0.25,3,0.1,1,"""Closed""",51
33780,1,300,3,0.25,3,0.1,1,"""Closed""",58
33884,1,300,3,0.25,3,0.1,1,"""Closed""",56
33887,1,300,3,0.25,3,0.1,1,"""Closed""",50
33955,1,300,3,0.25,3,0.1,1,"""Closed""",63
34014,1,300,3,0.25,3,0.1,1,"""Closed""",56
34183,1,300,3,0.25,3,0.1,1,"""Closed""",34
34194,1,300,3,0.25,3,0.1,1,"""Closed""",54
34291,1,300,3,0.25,3,0.1,1,"""Closed""",63
34480,1,300,3,0.25,3,0.1,1,"""Closed""",52
34738,1,300,3,0.25,3,0.1,1,"""Closed""",59
34759,1,300,3,0.25,3,0.1,1,"""Closed""",52
34832,1,300,3,0.25,3,0.1,1,"""Closed""",54
34843,1,300,3,0.25,3,0.1,1,"""Closed""",54
34853,1,300,3,0.25,3,0.1,1,"""Closed""",62
34946,1,300,3,0.25,3,0.1,1,"""Closed""",55
35245,1,300,3,0.25,3,0.1,1,"""Closed""",52
35333,1,300,3,0.25,3,0.1,1,"""Closed""",55
35460,1,300,3,0.25,3,0.1,1,"""Closed""",67
35565,1,300,3,0.25,3,0.1,1,"""Closed""",52
35622,1,300,3,0.25,3,0.1,1,"""Closed""",67
35701,1,300,3,0.5,3,0.1,1,"""Closed""",98
35742,1,300,3,0.25,3,0.1,1,"""Closed""",60
35766,1,300,3,0.5,3,0.1,1,"""Closed""",83
35976,1,300,3,0.5,3,0.1,1,"""Closed""",100
36153,1,300,3,0.5,3,0.1,1,"""Closed""",90
36346,1,300,3,0.5,3,0.1,1,"""Closed""",91
36431,1,300,3,0.5,3,0.1,1,"""Closed""",99
36489,1,300,3,0.5,3,0.1,1,"""Closed""",82
36501,1,300,3,0.5,3,0.1,1,"""Closed""",90
36522,1,300,3,0.5,3,0.1,1,"""Closed""",85
36553,1,300,3,0.5,3,0.1,1,"""Closed""",94
36713,1,300,3,0.5,3,0.1,1,"""Closed""",82
36924,1,300,3,0.5,3,0.1,1,"""Closed""",90
37100,1,300,3,0.5,3,0.1,1,"""Closed""",93
37215,1,300,3,0.5,3,0.1,1,"""Closed""",77
37239,1,300,3,0.5,3,0.1,1,"""Closed""",85
37267,1,300,3,0.5,3,0.1,1,"""Closed""",81
37385,1,300,3,0.5,3,0.1,1,"""Closed""",74
37392,1,300,3,0.5,3,0.1,1,"""Closed""",81
37566,1,300,3,0.5,3,0.1,1,"""Closed""",83
37732,1,300,3,0.5,3,0.1,1,"""Closed""",84
37907,1,300,3,0.5,3,0.1,1,"""Closed""",93
38019,1,300,3,0.5,3,0.1,1,"""Closed""",101
38030,1,300,3,0.5,3,0.1,1,"""Closed""",98
38064,1,300,3,0.5,3,0.1,1,"""Closed""",87
38215,1,300,3,0.5,3,0.1,1,"""Closed""",88
38258,1,300,3,0.5,3,0.1,1,"""Closed""",90
38351,1,300,3,0.5,3,0.1,1,"""Closed""",92
38527,1,300,3,0.5,3,0.1,1,"""Closed""",78
38677,1,300,3,0.5,3,0.1,1,"""Closed""",113
38789,1,300,3,0.5,3,0.1,1,"""Closed""",95
38838,1,300,3,0.5,3,0.1,1,"""Closed""",77
38900,1,300,3,0.5,3,0.1,1,"""Closed""",103
39017,1,300,3,0.5,3,0.1,1,"""Closed""",109
39145,1,300,3,0.5,3,0.1,1,"""Closed""",89
39163,1,300,3,0.5,3,0.1,1,"""Closed""",81
39271,1,300,3,0.5,3,0.1,1,"""Closed""",77
39496,1,300,3,0.5,3,0.1,1,"""Closed""",93
39574,1,300,3,0.5,3,0.1,1,"""Closed""",96
39645,1,300,3,0.5,3,0.1,1,"""Closed""",84
39666,1,300,3,0.5,3,0.1,1,"""Closed""",88
39835,1,300,3,0.5,3,0.1,1,"""Closed""",76
39940,1,300,3,0.5,3,0.1,1,"""Closed""",94
40070,1,300,3,0.5,3,0.1,1,"""Closed""",93
40129,1,300,3,0.5,3,0.1,1,"""Closed""",100
40296,1,300,3,0.5,3,0.1,1,"""Closed""",96
40383,1,300,3,0.5,3,0.1,1,"""Closed""",83
40430,1,300,3,0.5,3,0.1,1,"""Closed""",92
40451,1,300,3,0.5,3,0.1,1,"""Closed""",86
40596,1,300,3,0.5,3,0.1,1,"""Closed""",86
40720,1,300,3,0.5,3,0.1,1,"""Closed""",96
40867,1,300,3,0.75,3,0.1,1,"""Closed""",122
41079,1,300,3,0.75,3,0.1,1,"""Closed""",130
41081,1,300,3,0.75,3,0.1,1,"""Closed""",117
41183,1,300,3,0.75,3,0.1,1,"""Closed""",108
41218,1,300,3,0.75,3,0.1,1,"""Closed""",114
41250,1,300,3,0.75,3,0.1,1,"""Closed""",121
41403,1,300,3,0.75,3,0.1,1,"""Closed""",118
41497,1,300,3,0.75,3,0.1,1,"""Closed""",122
41631,1,300,3,0.75,3,0.1,1,"""Closed""",116
41862,1,300,3,0.75,3,0.1,1,"""Closed""",113
41944,1,300,3,0.75,3,0.1,1,"""Closed""",128
41974,1,300,3,0.75,3,0.1,1,"""Closed""",111
41995,1,300,3,0.75,3,0.1,1,"""Closed""",120
42092,1,300,3,0.75,3,0.1,1,"""Closed""",116
42247,1,300,3,0.75,3,0.1,1,"""Closed""",116
42277,1,300,3,0.75,3,0.1,1,"""Closed""",111
42558,1,300,3,0.75,3,0.1,1,"""Closed""",113
42603,1,300,3,0.75,3,0.1,1,"""Closed""",117
42723,1,300,3,0.75,3,0.1,1,"""Closed""",115
42739,1,300,3,0.75,3,0.1,1,"""Closed""",111
42747,1,300,3,0.75,3,0.1,1,"""Closed""",125
43044,1,300,3,0.75,3,0.1,1,"""Closed""",124
43056,1,300,3,0.75,3,0.1,1,"""Closed""",120
43068,1,300,3,0.75,3,0.1,1,"""Closed""",120
43320,1,300,3,0.75,3,0.1,1,"""Closed""",120
43400,1,300,3,0.75,3,0.1,1,"""Closed""",129
43500,1,300,3,0.75,3,0.1,1,"""Closed""",117
43510,1,300,3,0.75,3,0.1,1,"""Closed""",118
43548,1,300,3,0.75,3,0.1,1,"""Closed""",122
43827,1,300,3,0.75,3,0.1,1,"""Closed""",118
43873,1,300,3,0.75,3,0.1,1,"""Closed""",115
44048,1,300,3,0.75,3,0.1,1,"""Closed""",128
44143,1,300,3,0.75,3,0.1,1,"""Closed""",120
44227,1,300,3,0.75,3,0.1,1,"""Closed""",129
44247,1,300,3,0.75,3,0.1,1,"""Closed""",123
44311,1,300,3,0.75,3,0.1,1,"""Closed""",121
44373,1,300,3,0.75,3,0.1,1,"""Closed""",127
44631,1,300,3,0.75,3,0.1,1,"""Closed""",128
44676,1,300,3,0.75,3,0.1,1,"""Closed""",122
44900,1,300,3,0.75,3,0.1,1,"""Closed""",110
44944,1,300,3,0.75,3,0.1,1,"""Closed""",111
45009,1,300,3,0.75,3,0.1,1,"""Closed""",108
45080,1,300,3,0.75,3,0.1,1,"""Closed""",117
45114,1,300,3,0.75,3,0.1,1,"""Closed""",117
45174,1,300,3,0.75,3,0.1,1,"""Closed""",117
45431,1,300,3,0.75,3,0.1,1,"""Closed""",122
45464,1,300,3,0.75,3,0.1,1,"""Closed""",114
45775,1,300,3,0.75,3,0.1,1,"""Closed""",115
45784,2,300,1,0.25,3,0.1,1,"""Closed""",11
45825,1,300,3,0.75,3,0.1,1,"""Closed""",126
45842,1,300,3,0.75,3,0.1,1,"""Closed""",121
45874,2,300,1,0.25,3,0.1,1,"""Closed""",10
45957,2,300,1,0.25,3,0.1,1,"""Closed""",9
46156,2,300,1,0.25,3,0.1,1,"""Closed""",10
46210,2,300,1,0.25,3,0.1,1,"""Closed""",16
46524,2,300,1,0.25,3,0.1,1,"""Closed""",27
46568,2,300,1,0.25,3,0.1,1,"""Closed""",11
46678,2,300,1,0.25,3,0.1,1,"""Closed""",17
46723,2,300,1,0.25,3,0.1,1,"""Closed""",10
46750,2,300,1,0.25,3,0.1,1,"""Closed""",17
46900,2,300,1,0.25,3,0.1,1,"""Closed""",14
46908,2,300,1,0.25,3,0.1,1,"""Closed""",26
46966,2,300,1,0.25,3,0.1,1,"""Closed""",16
47298,2,300,1,0.25,3,0.1,1,"""Closed""",13
